"ID-Q","Questions"
"Q97","hm"
"Q98","whats one of your most memorable experiences"
"Q99","wow"
"Q100","thats a long time"
"Q101","<laughter> do you travel a lot"
"Q102","what do you enjoy about traveling"
"Q103","mhm"
"Q104","id love to hear about one of your trips"
"Q105","really"
"Q106","how easy is it for you to get a good nights sleep"
"Q107","what are you like when you dont sleep well"
"Q108","do you feel that way often"
"Q109","when was the last time that happened"
"Q110","wow"
"Q111","why"
"Q112","do you feel down"
"Q113","thats good"
"Q114","have you been diagnosed with depression"
"Q115","have you ever been diagnosed with p_t_s_d"
"Q116","have you ever served in the military"
"Q117","okay how would your best friend describe you"
"Q118","how do you know them"
"Q119","how close are you to them"
"Q120","thats good what do you think of todays kids"
"Q121","<laughter>"
"Q122","when was the last time that happened"
"Q123","lets come back to that later"
"Q124","when was the last time you felt really happy"
"Q125","id love to hear all about it"
"Q126","why"
"Q127","that sounds really hard"
"Q128","how do you know them"
"Q129","mhm"
"Q130","okay i think ive asked everything i need to"
"Q131","thanks for sharing your thoughts with me"
"Q132","goodbye"
"Q133","hi im ellie thanks for coming in today i was created to talk to people in a safe and secure environment think of me as a friend i dont judge i cant im a computer im here to learn about people and would love to learn about you ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential how are you doing today"
"Q134","thats good where are you from originally"
"Q135","how do you like your living situation"
"Q136","why"
"Q137","it can be tough to find a good job these days do you have roommates"
"Q138","whats it like for you living with them"
"Q139","how close are you to them"
"Q140","how close are you to them"
"Q141","how do you know them"
"Q142","thats good tell me more about that"
"Q143","yes"
"Q144","yeah"
"Q145","thats good whats your dream job"
"Q146","really"
"Q147","how did you decide to do that"
"Q148","how did you decide to do that"
"Q149","mhm"
"Q150","id love to hear about one of your trips"
"Q151","wow"
"Q152","mhm"
"Q153","what are some things you really like about l_a"
"Q154","uh huh"
"Q155","yeah"
"Q156","what are some things that make you really mad"
"Q157","okay"
"Q158","when was the last time that happened"
"Q159","when was the last time that happened"
"Q160","mm"
"Q161","that sucks"
"Q162","what do you do when youre annoyed"
"Q163","mhm"
"Q164","how hard is that"
"Q165","when was the last time you argued with someone and what was it about"
"Q166","mhm"
"Q167","how did you feel in that moment"
"Q168","how did you feel in that moment"
"Q169","mhm"
"Q170","im sorry to hear that"
"Q171","what are some things you like to do for fun"
"Q172","whats one of your most memorable experiences"
"Q173","whatever comes to your mind"
"Q174","oh my gosh"
"Q175","awesome"
"Q176","how close are you to your family"
"Q177","okay could you have done anything to avoid it"
"Q178","yes"
"Q179","yes"
"Q180","i see what you mean how easy is it for you to get a good nights sleep"
"Q181","yeah"
"Q182","do you feel that way often"
"Q183","what are you like when you dont sleep well"
"Q184","mhm"
"Q185","how do you cope with them"
"Q186","how do you cope with them"
"Q187","mm"
"Q188","has that gotten you in trouble"
"Q189","yeah"
"Q190","mhm"
"Q191","thats good do you feel like therapy is useful"
"Q192","do you feel like therapy is useful"
"Q193","do you feel like therapy is useful"
"Q194","why dont we talk about that later"
"Q195","have you been diagnosed with depression"
"Q196","how hard is that"
"Q197","mhm"
"Q198","yeah"
"Q199","mm"
"Q200","yeah"
"Q201","i understand did you think you had a problem before you found out"
"Q202","did you think you had a problem before you found out"
"Q203","yeah"
"Q204","how has seeing a therapist affected you"
"Q205","how has seeing a therapist affected you"
"Q206","right"
"Q207","thats so good to hear"
"Q208","what sort of changes have you noticed since youve been going to therapy"
"Q209","why did you stop"
"Q210","yeah"
"Q211","im sorry how would your best friend describe you"
"Q212","yeah"
"Q213","<laughter>"
"Q214","mhm"
"Q215","whos someone thats been a positive influence in your life"
"Q216","yeah"
"Q217","mhm"
"Q218","that sounds like a great situation"
"Q219","okay i think ive asked everything i need to thanks for sharing your thoughts with me"
"Q220","goodbye"
"Q221","hi im ellie thanks for coming in today i was created to talk to people in a safe and secure environment im not a therapist but im here to learn about people and would love to learn about you  ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential. are you okay with this"
"Q222","okay so how are you doing today"
"Q223","thats good where do you live"
"Q224","where are you from originally"
"Q225","how does it compare to l_a"
"Q226","whyd you move to l_a"
"Q227","what do you enjoy about traveling"
"Q228","why"
"Q229","really"
"Q230","when was the last time that happened"
"Q231","yes"
"Q232","id love to hear about one of your trips"
"Q233","awesome"
"Q234","how often do you go back to your home town"
"Q235","aw"
"Q236","do you consider yourself an introvert"
"Q237","what do you do when youre annoyed"
"Q238","could you say a little more about that"
"Q239","mhm"
"Q240","how are you at controlling your temper"
"Q241","i see what you mean when was the last time you argued with someone and what was it about"
"Q242","okay"
"Q243","<laughter>"
"Q244","whos someone thats been a positive influence in your life"
"Q245","yes"
"Q246","aw"
"Q247","how close are you to your family"
"Q248","okay whats your dream job"
"Q249","really"
"Q250","what do you do now"
"Q251","whats one of your most memorable experiences"
"Q252","whatever comes to your mind"
"Q253","tell me more about that"
"Q254","that sounds like a great situation"
"Q255","how do you know them"
"Q256","mhm"
"Q257","do you have roommates"
"Q258","how do you like your living situation"
"Q259","im sorry to hear that"
"Q260","whats it like for you living with them"
"Q261","i understand"
"Q262","what do you do to relax"
"Q263","okay have you ever served in the military"
"Q264","have you ever been diagnosed with p_t_s_d"
"Q265","have you been diagnosed with depression"
"Q266","have you noticed any changes in your behavior or thoughts lately"
"Q267","have you noticed any changes in your behavior or thoughts lately"
"Q268","how easy is it for you to get a good nights sleep"
"Q269","do you feel down"
"Q270","do you feel that way often"
"Q271","when was the last time you felt really happy"
"Q272","what would you say are some of your best qualities"
"Q273","<laughter>"
"Q274","what are you most proud of in your life"
"Q275","mhm"
"Q276","thats great"
"Q277","what are some things that usually put you in a good mood"
"Q278","nice"
"Q279","tell me about something you did recently that you really enjoyed"
"Q280","can you tell me about that"
"Q281","<laughter>"
"Q282","okay"
"Q283","what do you think of todays kids"
"Q284","i see what you mean whatd you study at school"
"Q285","yes"
"Q286","what made you decide to do that"
"Q287","yes"
"Q288","is there anything you regret"
"Q289","whatever comes to your mind"
"Q290","what advice would you give yourself ten or twenty years ago"
"Q291","okay how would your best friend describe you"
"Q292","why"
"Q293","okay"
"Q294","thanks for sharing your thoughts with me"
"Q295","okay i think ive asked everything i need to goodbye"
"Q296","hi im ellie thanks for coming in today i was created to talk to people in a safe and secure environment im not a therapist but im here to learn about people and would love to learn about you ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q297","okay so how are you doing today"
"Q298","im great thanks where are you from originally"
"Q299","really"
"Q300","what are some things you really like about l_a"
"Q301","what are some things you dont really like about l_a"
"Q302","<laughter>"
"Q303","do you travel a lot"
"Q304","why"
"Q305","what do you enjoy about traveling"
"Q306","whatd you study at school"
"Q307","are you still working in that"
"Q308","what do you do now"
"Q309","awesome"
"Q310","whats your dream job"
"Q311","whos someone thats been a positive influence in your life"
"Q312","thats so good to hear"
"Q313","how are you at controlling your temper"
"Q314","when was the last time you argued with someone and what was it about"
"Q315","okay how close are you to your family"
"Q316","thats good"
"Q317","do you consider yourself an introvert"
"Q318","why"
"Q319","i see what you mean what do you do to relax"
"Q320","what do you do when youre annoyed"
"Q321","okay what do you think of todays kids"
"Q322","that makes sense whats one of your most memorable experiences"
"Q323","awesome"
"Q324","how would your best friend describe you"
"Q325","okay what would you say are some of your best qualities"
"Q326","what are some things that usually put you in a good mood"
"Q327","nice"
"Q328","what are you most proud of in your life"
"Q329","tell me more about that"
"Q330","yeah"
"Q331","when was the last time you felt really happy"
"Q332","cool"
"Q333","have you ever served in the military"
"Q334","really whyd you decide to enlist in the military"
"Q335","how old were you when you joined the military"
"Q336","you were very young werent you"
"Q337","how did serving in the military change you"
"Q338","what did you do after the military"
"Q339","okay have you ever been diagnosed with p_t_s_d"
"Q340","have you been diagnosed with depression"
"Q341","how easy is it for you to get a good nights sleep"
"Q342","that makes sense"
"Q343","do you feel that way often"
"Q344","im sorry"
"Q345","what are you like when you dont sleep well"
"Q346","have you noticed any changes in your behavior or thoughts lately"
"Q347","okay"
"Q348","okay tell me more about that"
"Q349","how hard is that"
"Q350","yes"
"Q351","why dont we talk about that later"
"Q352","okay is there anything you regret"
"Q353","what advice would you give yourself ten or twenty years ago"
"Q354","i understand"
"Q355","thanks it was great chatting with you"
"Q356","goodbye"
"Q357","hi im ellie thanks for coming in today i was created to talk to people in a safe and secure environment im not a therapist but im here to learn about people and would love to learn about you ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q358","okay so how are you doing today"
"Q359","thats good where are you from originally"
"Q360","really whyd you move to l_a"
"Q361","whend you move to l_a"
"Q362","how often do you go back to your home town"
"Q363","nice what are some things you really like about l_a"
"Q364","what are some things you dont really like about l_a"
"Q365","i see what you mean how easy was it for you to get used to living in l_a"
"Q366","thats good what are some things that make you really mad"
"Q367","what do you do when youre annoyed"
"Q368","can you give me an example of that"
"Q369","uh huh"
"Q370","okay yes"
"Q371","how are you at controlling your temper"
"Q372","when was the last time you argued with someone and what was it about"
"Q373","how did you feel in that moment"
"Q374","what are some things you like to do for fun"
"Q375","do you consider yourself an introvert"
"Q376","why"
"Q377","okay whatd you study at school"
"Q378","are you still doing that"
"Q379","what do you do now"
"Q380","whats your dream job"
"Q381","nice whats one of your most memorable experiences"
"Q382","really"
"Q383","tell me more about that"
"Q384","do you travel a lot"
"Q385","id love to hear about one of your trips"
"Q386","okay whats one of your most memorable experiences"
"Q387","yes"
"Q388","uh huh"
"Q389","when was the last time you felt really happy"
"Q390","tell me more about that"
"Q391","have you noticed any changes in your behavior or thoughts lately"
"Q392","have you been diagnosed with depression"
"Q393","how long ago were you diagnosed"
"Q394","what got you to seek help"
"Q395","do you feel like therapys useful"
"Q396","can you give me an example of that"
"Q397","thats so good to hear"
"Q398","how has seeing a therapist affected you"
"Q399","i see what you mean what are some things that usually put you in a good mood"
"Q400","<laughter>"
"Q401","what would you say are some of your best qualities"
"Q402","what are you most proud of in your life"
"Q403","is there anything you regret"
"Q404","can you give me an example of that"
"Q405","what advice would you give yourself ten or twenty years ago"
"Q406","okay whos someone thats been a positive influence in your life"
"Q407","thats good how would your best friend describe you"
"Q408","okay thanks for sharing your thoughts with me okay i think ive asked everything i need to goodbye"
"Q409","hi im ellie thanks for coming in today"
"Q410","i was created to talk to people in a safe and secure environment im not a therapist but im here to learn about people and would love to learn about you ill ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q411","okay so how are you doing today"
"Q412","im great thanks where are you from originally"
"Q413","really do you have roommates"
"Q414","how do you like your living situation"
"Q415","whats it like for you living with them"
"Q416","yes"
"Q417","thats so good to hear do you travel a lot"
"Q418","id love to hear about one of your trips"
"Q419","awesome"
"Q420","what do you enjoy about traveling"
"Q421","whats one of your most memorable experiences"
"Q422","that sounds really hard"
"Q423","what are some things that make you really mad"
"Q424","what do you do when youre annoyed"
"Q425","thats good how are you at controlling your temper"
"Q426","when was the last time you argued with someone and what was it about"
"Q427","how did you feel in that moment"
"Q428","okay do you consider yourself an introvert"
"Q429","why"
"Q430","do you find it easy to be a parent"
"Q431","whats the best thing about being a parent"
"Q432","whats the hardest thing about being a parent"
"Q433","how close are you to your family"
"Q434","what do you think of todays kids"
"Q435","i see what you mean what are some things you like to do for fun"
"Q436","awesome whats your dream job"
"Q437","that sounds like a great situation"
"Q438","have you ever served in the military"
"Q439","have you ever been diagnosed with p_t_s_d"
"Q440","have you been diagnosed with depression"
"Q441","how easy is it for you to get a good nights sleep"
"Q442","what are you like when you dont sleep well"
"Q443","when was the last time that happened"
"Q444","okay have you noticed any changes in your behavior or thoughts lately"
"Q445","have you noticed any changes in your behavior or thoughts lately"
"Q446","thats good how would your best friend describe you"
"Q447","how do you know them"
"Q448","thats a long time"
"Q449","how close are you to them"
"Q450","thats great what would you say are some of your best qualities"
"Q451","what made you decide to do that"
"Q452","is there anything you regret"
"Q453","can you give me an example of that"
"Q454","im sorry to hear that could you have done anything to avoid it"
"Q455","how did you feel in that moment"
"Q456","what made you decide to do that"
"Q457","what advice would you give yourself ten or twenty years ago"
"Q458","whos someone thats been a positive influence in your life"
"Q459","thats great whats one of your most memorable experiences"
"Q460","tell me more about that"
"Q461","awesome what are some things that usually put you in a good mood"
"Q462","that makes sense what are you most proud of in your life"
"Q463","thats great"
"Q464","when was the last time you felt really happy"
"Q465","nice thanks it was great chatting with you"
"Q466","thanks for sharing your thoughts with me"
"Q467","goodbye"
"Q468","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this'"
"Q469","okay so how are you doing today"
"Q470","thats good where are you from originally"
"Q471","really whyd you move to l_a"
"Q472","what do you do now"
"Q473","whend you move to l_a"
"Q474","mhm"
"Q475","how often do you go back to your home town"
"Q476","thats good what are some things you really like about l_a"
"Q477","what are some things you dont really like about l_a"
"Q478","can you give me an example of that"
"Q479","how easy was it for you to get used to living in l_a"
"Q480","thats good whatd you study at school"
"Q481","whats your dream job"
"Q482","how hard is that"
"Q483","im sorry to hear that how close are you to your family"
"Q484","thats great do you consider yourself an introvert"
"Q485","why"
"Q486","awesome what are some things that make you really mad"
"Q487","when was the last time that happened"
"Q488","what do you do when youre annoyed"
"Q489","okay when was the last time you argued with someone and what was it about"
"Q490","why"
"Q491","what are some things you like to do for fun"
"Q492","cool"
"Q493","whats one of your most memorable experiences"
"Q494","do you travel a lot"
"Q495","what do you enjoy about traveling"
"Q496","id love to hear about one of your trips"
"Q497","really"
"Q498","thats so good to hear"
"Q499","have you ever served in the military"
"Q500","have you ever been diagnosed with p_t_s_d"
"Q501","have you been diagnosed with depression"
"Q502","how long ago were you diagnosed"
"Q503","what got you to seek help"
"Q504","mhm"
"Q505","do you feel down"
"Q506","do you feel down"
"Q507","have you noticed any changes in your behavior or thoughts lately"
"Q508","that sounds really hard"
"Q509","are they triggered by something"
"Q510","im sorry to hear that"
"Q511","oh no im sorry"
"Q512","is going to a therapist helping you"
"Q513","tell me more about that"
"Q514","it can be tough to find a good job these days"
"Q515","what sort of changes have you noticed since youve been going to therapy"
"Q516","thats great"
"Q517","do you still go to therapy now"
"Q518","okay"
"Q519","when was the last time you felt really happy"
"Q520","what are you most proud of in your life"
"Q521","tell me about something you did recently that you really enjoyed"
"Q522","what was it about"
"Q523","nice"
"Q524","how would your best friend describe you"
"Q525","whos someone thats been a positive influence in your life"
"Q526","is it uncomfortable for you to talk about this"
"Q527","thats good tell me more about that"
"Q528","whats one of your most memorable experiences"
"Q529","okay is there anything you regret"
"Q530","could you have done anything to avoid it"
"Q531","what made you decide to do that"
"Q532","what made you decide to do that"
"Q533","why dont we talk about that later"
"Q534","what advice would you give yourself ten or twenty years ago"
"Q535","there are always trade offs in life arent there"
"Q536","do you think that maybe youre being a little hard on yourself"
"Q537","okay what are you most proud of in your life"
"Q538","thats great"
"Q539","what are some things that usually put you in a good mood"
"Q540","thats so good to hear okay i think ive asked everything i need to"
"Q541","goodbye"
"Q542","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started  and please feel free to tell me anything your answers are totally confidential are you okay with this'"
"Q543","okay so how are you doing today"
"Q544","im sorry to hear that where are you from originally"
"Q545","really whyd you move to l_a"
"Q546","whend you move to l_a"
"Q547","how easy was it for you to get used to living in l_a"
"Q548","why"
"Q549","i understand what are some things you really like about l_a"
"Q550","what are some things you dont really like about l_a"
"Q551","how often to you go back to your home town"
"Q552","why"
"Q553","im sorry"
"Q554","that sucks"
"Q555","how close are you to your family <asks do you travel a lot simultaneously> do you travel a lot"
"Q556","what do you enjoy about traveling"
"Q557","id love to hear about one of your trips"
"Q558","awesome  whats one of your most memorable experiences"
"Q559","okay"
"Q560","do you consider yourself an introvert"
"Q561","why"
"Q562","how are you at controlling your temper"
"Q563","what are some things that make you really mad"
"Q564","can you give me an example of that"
"Q565","okay"
"Q566","i see what you mean what do you do when youre annoyed"
"Q567","thats good  what do you do to relax"
"Q568","cool what do you do now"
"Q569","mhm"
"Q570","whats your dream job"
"Q571","okay"
"Q572","have you ever served in the military"
"Q573","have you ever been diagnosed with p_t_s_d"
"Q574","how long ago were you diagnosed"
"Q575","what got you to seek help"
"Q576","do you feel like therapys useful"
"Q577","do you still go to therapy now"
"Q578","what sort of changes have you noticed since youve been going to therapy"
"Q579","have you been diagnosed with depression"
"Q580","how have you been feeling lately"
"Q581","tell me more about that"
"Q582","im sorry to hear that is it uncomfortable for you to talk about this"
"Q583","yes how would your best friend describe you"
"Q584","what would you say are some of your best qualities"
"Q585","thats great what are some things that usually put you in a good mood"
"Q586","when was the last time that happened"
"Q587","what was it about"
"Q588","awesome is there anything you regret"
"Q589","what advice would you give yourself ten or twenty years ago"
"Q590","could you have done anything to avoid it"
"Q591","when was the last time you felt really happy"
"Q592","tell me more about that"
"Q593","how did you feel in that moment"
"Q594","whos someone thats been a positive influence in your life"
"Q595","okay  when was the last time you argued with someone and what was it about"
"Q596","that sounds really hard  how do you know them"
"Q597","how close are you to them"
"Q598","okay"
"Q599","what are you most proud of in your life"
"Q600","whatd you study at school"
"Q601","that sounds interesting"
"Q602","okay i think ive asked everything i need to  thanks for sharing your thoughts with me  goodbye"
"Q603","hi i''m ellie thanks for coming in today  i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this'"
"Q604","okay so how are you doing today'"
"Q605","that''s good where are you from originally'"
"Q606","really'"
"Q607","what are some things you really like about l_a"
"Q608","what are some things you dont really like about l_a"
"Q609","okay  whatd you study at school"
"Q610","are you still doing that"
"Q611","whats your dream job"
"Q612","that sounds interesting"
"Q613","do you consider yourself an introvert"
"Q614","why"
"Q615","do you feel that way often"
"Q616","what are some things that make you really mad"
"Q617","i understand  what do you do when youre annoyed"
"Q618","how are you at controlling your temper"
"Q619","thats good  when was the last time you argued with someone and what was it about"
"Q620","<laughter>  do you travel a lot"
"Q621","what do you enjoy about traveling"
"Q622","id love to hear about one of your trips"
"Q623","<laughter>"
"Q624","nice what would you say are some of your best qualities"
"Q625","how do you like your living situation"
"Q626","do you have roommates"
"Q627","thats good have you ever served in the military"
"Q628","have you ever been diagnosed with p_t_s_d"
"Q629","have you been diagnosed with depression"
"Q630","how easy is it for you to get a good nights sleep"
"Q631","why"
"Q632","okay what are you like when you dont sleep well"
"Q633","have you noticed any changes in your behavior or thoughts lately"
"Q634","okay is there anything you regret"
"Q635","what advice would you give yourself ten or twenty years ago"
"Q636","could you have done anything to avoid it"
"Q637","tell me more about that"
"Q638","how would your best friend describe you"
"Q639","okay  how close are you to your family"
"Q640","whos someone thats been a positive influence in your life"
"Q641","thats great tell me about something you did recently that you really enjoyed"
"Q642","id love to hear all about it"
"Q643","wow"
"Q644","awesome what are some things that usually put you in a good mood"
"Q645","thats so good to hear  whats one of your most memorable experiences"
"Q646","what are you most proud of in your life"
"Q647","okay i think ive asked everything i need to  thanks for sharing your thoughts with me goodbye"
"Q648","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q649","okay so how are you doing today"
"Q650","that''s good where are you from originally"
"Q651","really what are some things you really like about l_a"
"Q652","mhm"
"Q653","okay what are some things you don''t really like about l_a"
"Q654","i see what you mean"
"Q655","what''s your dream job"
"Q656","what do you do now"
"Q657","i''m sorry to hear that"
"Q658","it can be tough to find a good job these days"
"Q659","what''d you study at school"
"Q660","that sounds interesting what are some things that make you really mad"
"Q661","yeah"
"Q662","what do you do when you''re annoyed"
"Q663","how are you at controlling your temper"
"Q664","that''s good what do you do to relax"
"Q665","what''s one of your most memorable experiences"
"Q666","tell me more about that"
"Q667","that''s great do you find it easy to be a parent"
"Q668","what''s the best thing about being a parent"
"Q669","what''s the hardest thing about being a parent"
"Q670","that makes sense when was the last time that happened"
"Q671","yes"
"Q672","how did you feel in that moment"
"Q673","that''s great"
"Q674","when was the last time you argued with someone and what was it about"
"Q675","okay do you travel a lot"
"Q676","why why"
"Q677","why"
"Q678","yes"
"Q679","okay have you ever served in the military"
"Q680","have you ever been diagnosed with p_t_s_d"
"Q681","have you been diagnosed with depression"
"Q682","how long ago were you diagnosed"
"Q683","what got you to seek help"
"Q684","did you think you had a problem before you found out"
"Q685","what were your symptoms"
"Q686","how have you been feeling lately"
"Q687","i''m sorry to hear that do you still go to therapy now"
"Q688","do you feel like therapy''s useful"
"Q689","can you tell me about that"
"Q690","what sort of changes have you noticed since you''ve been going to therapy"
"Q691","okay what are you like when you don''t sleep well"
"Q692","that sounds really hard"
"Q693","when was the last time you felt really happy"
"Q694","could you say a little more about that"
"Q695","i see what you mean what are some things that usually put you in a good mood"
"Q696","what would you say are some of your best qualities"
"Q697","how would your best friend describe you"
"Q698","okay who''s someone that''s been a positive influence in your life"
"Q699","that''s so good to hear is there anything you regret"
"Q700","what advice would you give yourself ten or twenty years ago"
"Q701","okay what are you most proud of in your life"
"Q702","okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q703","goodbye"
"Q704","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q705","okay so how are you doing today"
"Q706","why"
"Q707","i understand where are you from originally"
"Q708","really"
"Q709","what are some things you really like about l_a"
"Q710","mhm"
"Q711","okay what are some things you don''t really like about l_a"
"Q712","mm"
"Q713","what do you do now"
"Q714","what''s your dream job"
"Q715","what''d you study at school"
"Q716","that sounds interesting"
"Q717","are you happy you did that"
"Q718","are you still working in that"
"Q719","tell me more about that"
"Q720","mhm"
"Q721","how did you decide to do that"
"Q722","aw"
"Q723","how close are you to your family"
"Q724","that''s good"
"Q725","do you consider yourself an introvert"
"Q726","why don''t we talk about that later"
"Q727","what do you do to relax"
"Q728","cool"
"Q729","how are you at controlling your temper"
"Q730","when was the last time you argued with someone and what was it about"
"Q731","okay what do you do when you''re annoyed"
"Q732","'<laughter>'"
"Q733","i understand"
"Q734","what are some things that make you really mad"
"Q735","mhm"
"Q736","how would your best friend describe you"
"Q737","what would you say are some of your best qualities"
"Q738","okay who''s someone that''s been a positive influence in your life"
"Q739","aw"
"Q740","could you say a little more about that"
"Q741","mhm"
"Q742","can you give me an example of that"
"Q743","that''s great"
"Q744","is it uncomfortable for you to talk about this"
"Q745","yes"
"Q746","i''m sorry to hear that"
"Q747","have you noticed any changes in your behavior or thoughts lately"
"Q748","have you noticed any changes in your behavior or thoughts lately"
"Q749","mhm"
"Q750","yes"
"Q751","how have you been feeling lately"
"Q752","why"
"Q753","could you say a little more about that"
"Q754","i''m sorry that sounds really hard"
"Q755","how do you cope with them"
"Q756","yeah"
"Q757","how easy is it for you to get a good night''s sleep"
"Q758","what are you like when you don''t sleep well"
"Q759","what are you like when you don''t sleep well"
"Q760","have you ever been diagnosed with p_t_s_d"
"Q761","how long ago were you diagnosed"
"Q762","what got you to seek help"
"Q763","do you still go to therapy now"
"Q764","why did you stop"
"Q765","why did you stop"
"Q766","did you think you had a problem before you found out"
"Q767","what were your symptoms"
"Q768","i see"
"Q769","do you have disturbing thoughts"
"Q770","whatever comes to your mind"
"Q771","i see"
"Q772","are they triggered by something"
"Q773","can you give me an example of that"
"Q774","that sounds really hard"
"Q775","do you feel like therapy is useful"
"Q776","do you feel like therapy is useful"
"Q777","what sort of changes have you noticed since you''ve been going to therapy"
"Q778","that''s good"
"Q779","how has seeing a therapist affected you"
"Q780","how have you been feeling lately"
"Q781","okay what are some things that usually put you in a good mood"
"Q782","that''s great"
"Q783","tell me about something you did recently that you really enjoyed"
"Q784","what are you most proud of in your life"
"Q785","tell me about your kids"
"Q786","that''s so good to hear"
"Q787","do you find it easy to be a parent"
"Q788","what''s the hardest thing about being a parent"
"Q789","can you give me an example of that"
"Q790","mhm"
"Q791","okay what''s the best thing about being a parent"
"Q792","awesome is there anything you regret"
"Q793","what advice would you give yourself ten or twenty years ago"
"Q794","okay what''s one of your most memorable experiences"
"Q795","whatever comes to your mind"
"Q796","really"
"Q797","how did you feel in that moment"
"Q798","how hard is that"
"Q799","yes"
"Q800","that''s great when was the last time you felt really happy"
